Year,Indicator Name,Indicator Code,Value
1989,Arable land (% of land area),AG.LND.ARBL.ZS,14.37
1988,Arable land (% of land area),AG.LND.ARBL.ZS,14.32
1987,Arable land (% of land area),AG.LND.ARBL.ZS,14.27
1986,Arable land (% of land area),AG.LND.ARBL.ZS,14.14
1985,Arable land (% of land area),AG.LND.ARBL.ZS,13.97
1984,Arable land (% of land area),AG.LND.ARBL.ZS,13.91
1983,Arable land (% of land area),AG.LND.ARBL.ZS,13.86
1982,Arable land (% of land area),AG.LND.ARBL.ZS,13.67
1981,Arable land (% of land area),AG.LND.ARBL.ZS,14.35
1980,Arable land (% of land area),AG.LND.ARBL.ZS,14.35
1979,Arable land (% of land area),AG.LND.ARBL.ZS,14.35
1978,Arable land (% of land area),AG.LND.ARBL.ZS,15.95
1977,Arable land (% of land area),AG.LND.ARBL.ZS,15.15
1976,Arable land (% of land area),AG.LND.ARBL.ZS,14.35
1975,Arable land (% of land area),AG.LND.ARBL.ZS,13.55
1974,Arable land (% of land area),AG.LND.ARBL.ZS,13.3
1973,Arable land (% of land area),AG.LND.ARBL.ZS,13.2
1972,Arable land (% of land area),AG.LND.ARBL.ZS,13.11
1971,Arable land (% of land area),AG.LND.ARBL.ZS,13.01
1970,Arable land (% of land area),AG.LND.ARBL.ZS,12.92
1969,Arable land (% of land area),AG.LND.ARBL.ZS,12.82
1968,Arable land (% of land area),AG.LND.ARBL.ZS,12.73
1967,Arable land (% of land area),AG.LND.ARBL.ZS,12.63
1966,Arable land (% of land area),AG.LND.ARBL.ZS,12.63
1965,Arable land (% of land area),AG.LND.ARBL.ZS,12.65
1964,Arable land (% of land area),AG.LND.ARBL.ZS,12.6
1963,Arable land (% of land area),AG.LND.ARBL.ZS,12.63
1962,Arable land (% of land area),AG.LND.ARBL.ZS,9.2
1961,Arable land (% of land area),AG.LND.ARBL.ZS,9.49
2022,Land under cereal production (hectares),AG.LND.CREL.HA,1198727.0
2021,Land under cereal production (hectares),AG.LND.CREL.HA,1233820.0
2020,Land under cereal production (hectares),AG.LND.CREL.HA,1144961.0
2019,Land under cereal production (hectares),AG.LND.CREL.HA,1021215.0
2018,Land under cereal production (hectares),AG.LND.CREL.HA,1111987.0
2017,Land under cereal production (hectares),AG.LND.CREL.HA,844329.0
2016,Land under cereal production (hectares),AG.LND.CREL.HA,1215182.0
2015,Land under cereal production (hectares),AG.LND.CREL.HA,1279888.0
2014,Land under cereal production (hectares),AG.LND.CREL.HA,953655.0
2013,Land under cereal production (hectares),AG.LND.CREL.HA,1261819.0
2012,Land under cereal production (hectares),AG.LND.CREL.HA,1131730.0
2011,Land under cereal production (hectares),AG.LND.CREL.HA,1146945.0
2010,Land under cereal production (hectares),AG.LND.CREL.HA,1124660.0
2009,Land under cereal production (hectares),AG.LND.CREL.HA,999340.0
2008,Land under cereal production (hectares),AG.LND.CREL.HA,1110843.0
2007,Land under cereal production (hectares),AG.LND.CREL.HA,856543.0
2006,Land under cereal production (hectares),AG.LND.CREL.HA,948663.0
2005,Land under cereal production (hectares),AG.LND.CREL.HA,950200.0
2004,Land under cereal production (hectares),AG.LND.CREL.HA,748720.0
2003,Land under cereal production (hectares),AG.LND.CREL.HA,946340.0
2002,Land under cereal production (hectares),AG.LND.CREL.HA,848790.0
2001,Land under cereal production (hectares),AG.LND.CREL.HA,796560.0
2000,Land under cereal production (hectares),AG.LND.CREL.HA,867548.0
1999,Land under cereal production (hectares),AG.LND.CREL.HA,906530.0
1998,Land under cereal production (hectares),AG.LND.CREL.HA,803160.0
1997,Land under cereal production (hectares),AG.LND.CREL.HA,721837.0
1996,Land under cereal production (hectares),AG.LND.CREL.HA,697613.0
1995,Land under cereal production (hectares),AG.LND.CREL.HA,933651.0
1994,Land under cereal production (hectares),AG.LND.CREL.HA,938132.0
1993,Land under cereal production (hectares),AG.LND.CREL.HA,862816.0
1992,Land under cereal production (hectares),AG.LND.CREL.HA,802603.0
1991,Land under cereal production (hectares),AG.LND.CREL.HA,830505.0
1990,Land under cereal production (hectares),AG.LND.CREL.HA,869766.0
1989,Land under cereal production (hectares),AG.LND.CREL.HA,729393.0
1988,Land under cereal production (hectares),AG.LND.CREL.HA,865221.0
1987,Land under cereal production (hectares),AG.LND.CREL.HA,726403.0
1986,Land under cereal production (hectares),AG.LND.CREL.HA,882311.0
1985,Land under cereal production (hectares),AG.LND.CREL.HA,912657.0
1984,Land under cereal production (hectares),AG.LND.CREL.HA,937257.0
1983,Land under cereal production (hectares),AG.LND.CREL.HA,824826.0
1982,Land under cereal production (hectares),AG.LND.CREL.HA,795759.0
1981,Land under cereal production (hectares),AG.LND.CREL.HA,889293.0
1980,Land under cereal production (hectares),AG.LND.CREL.HA,867782.0
1979,Land under cereal production (hectares),AG.LND.CREL.HA,836292.0
1978,Land under cereal production (hectares),AG.LND.CREL.HA,901205.0
1977,Land under cereal production (hectares),AG.LND.CREL.HA,849810.0
1976,Land under cereal production (hectares),AG.LND.CREL.HA,720940.0
1975,Land under cereal production (hectares),AG.LND.CREL.HA,691085.0
1974,Land under cereal production (hectares),AG.LND.CREL.HA,875379.0
1973,Land under cereal production (hectares),AG.LND.CREL.HA,734307.0
1972,Land under cereal production (hectares),AG.LND.CREL.HA,682632.0
1971,Land under cereal production (hectares),AG.LND.CREL.HA,732973.0
1970,Land under cereal production (hectares),AG.LND.CREL.HA,763084.0
1969,Land under cereal production (hectares),AG.LND.CREL.HA,582000.0
1968,Land under cereal production (hectares),AG.LND.CREL.HA,606910.0
1967,Land under cereal production (hectares),AG.LND.CREL.HA,584108.0
1966,Land under cereal production (hectares),AG.LND.CREL.HA,583713.0
1965,Land under cereal production (hectares),AG.LND.CREL.HA,472886.0
1964,Land under cereal production (hectares),AG.LND.CREL.HA,573881.0
1963,Land under cereal production (hectares),AG.LND.CREL.HA,582457.0
1962,Land under cereal production (hectares),AG.LND.CREL.HA,568096.0
1961,Land under cereal production (hectares),AG.LND.CREL.HA,539171.0
2022,Permanent cropland (% of land area),AG.LND.CROP.ZS,16.17
2021,Permanent cropland (% of land area),AG.LND.CROP.ZS,16.17
2020,Permanent cropland (% of land area),AG.LND.CROP.ZS,16.17
2019,Permanent cropland (% of land area),AG.LND.CROP.ZS,16.16
2018,Permanent cropland (% of land area),AG.LND.CROP.ZS,16.16
2017,Permanent cropland (% of land area),AG.LND.CROP.ZS,16.16
2016,Permanent cropland (% of land area),AG.LND.CROP.ZS,16.16
2015,Permanent cropland (% of land area),AG.LND.CROP.ZS,16.16
2014,Permanent cropland (% of land area),AG.LND.CROP.ZS,15.95
2013,Permanent cropland (% of land area),AG.LND.CROP.ZS,15.95
2012,Permanent cropland (% of land area),AG.LND.CROP.ZS,15.95
2011,Permanent cropland (% of land area),AG.LND.CROP.ZS,15.79
2010,Permanent cropland (% of land area),AG.LND.CROP.ZS,15.63
2009,Permanent cropland (% of land area),AG.LND.CROP.ZS,15.47
2008,Permanent cropland (% of land area),AG.LND.CROP.ZS,15.23
2007,Permanent cropland (% of land area),AG.LND.CROP.ZS,15.15
2006,Permanent cropland (% of land area),AG.LND.CROP.ZS,15.15
2005,Permanent cropland (% of land area),AG.LND.CROP.ZS,15.47
2004,Permanent cropland (% of land area),AG.LND.CROP.ZS,15.47
2003,Permanent cropland (% of land area),AG.LND.CROP.ZS,15.63
2002,Permanent cropland (% of land area),AG.LND.CROP.ZS,15.63
2001,Permanent cropland (% of land area),AG.LND.CROP.ZS,15.87
2000,Permanent cropland (% of land area),AG.LND.CROP.ZS,15.87
1999,Permanent cropland (% of land area),AG.LND.CROP.ZS,15.95
1998,Permanent cropland (% of land area),AG.LND.CROP.ZS,15.95
1997,Permanent cropland (% of land area),AG.LND.CROP.ZS,15.95
1996,Permanent cropland (% of land area),AG.LND.CROP.ZS,15.95
1995,Permanent cropland (% of land area),AG.LND.CROP.ZS,15.95
1994,Permanent cropland (% of land area),AG.LND.CROP.ZS,15.95
1993,Permanent cropland (% of land area),AG.LND.CROP.ZS,15.95
1992,Permanent cropland (% of land area),AG.LND.CROP.ZS,15.95
1991,Permanent cropland (% of land area),AG.LND.CROP.ZS,15.95
1990,Permanent cropland (% of land area),AG.LND.CROP.ZS,15.95
1989,Permanent cropland (% of land area),AG.LND.CROP.ZS,15.95
1988,Permanent cropland (% of land area),AG.LND.CROP.ZS,15.95
1987,Permanent cropland (% of land area),AG.LND.CROP.ZS,15.95
1986,Permanent cropland (% of land area),AG.LND.CROP.ZS,15.95
1985,Permanent cropland (% of land area),AG.LND.CROP.ZS,15.95
1984,Permanent cropland (% of land area),AG.LND.CROP.ZS,15.95
1983,Permanent cropland (% of land area),AG.LND.CROP.ZS,15.95
1982,Permanent cropland (% of land area),AG.LND.CROP.ZS,15.95
1981,Permanent cropland (% of land area),AG.LND.CROP.ZS,16.11
1980,Permanent cropland (% of land area),AG.LND.CROP.ZS,16.11
1979,Permanent cropland (% of land area),AG.LND.CROP.ZS,16.27
1978,Permanent cropland (% of land area),AG.LND.CROP.ZS,16.42
1977,Permanent cropland (% of land area),AG.LND.CROP.ZS,16.65
1976,Permanent cropland (% of land area),AG.LND.CROP.ZS,16.86
1975,Permanent cropland (% of land area),AG.LND.CROP.ZS,17.06
1974,Permanent cropland (% of land area),AG.LND.CROP.ZS,17.29
1973,Permanent cropland (% of land area),AG.LND.CROP.ZS,17.29
1972,Permanent cropland (% of land area),AG.LND.CROP.ZS,17.29
1971,Permanent cropland (% of land area),AG.LND.CROP.ZS,17.29
1970,Permanent cropland (% of land area),AG.LND.CROP.ZS,17.29
1969,Permanent cropland (% of land area),AG.LND.CROP.ZS,17.3
1968,Permanent cropland (% of land area),AG.LND.CROP.ZS,17.29
1967,Permanent cropland (% of land area),AG.LND.CROP.ZS,17.27
1966,Permanent cropland (% of land area),AG.LND.CROP.ZS,17.27
1965,Permanent cropland (% of land area),AG.LND.CROP.ZS,17.27
1964,Permanent cropland (% of land area),AG.LND.CROP.ZS,17.27
1963,Permanent cropland (% of land area),AG.LND.CROP.ZS,17.27
1962,Permanent cropland (% of land area),AG.LND.CROP.ZS,15.07
1961,Permanent cropland (% of land area),AG.LND.CROP.ZS,15.04
2015,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,1983.34
2000,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,1991.59
1990,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,2012.4
2015,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,3.05
2000,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,3.06
1990,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,3.1
2022,Forest area (sq. km),AG.LND.FRST.K2,21067.0
2021,Forest area (sq. km),AG.LND.FRST.K2,21098.6
2020,Forest area (sq. km),AG.LND.FRST.K2,21130.2
2019,Forest area (sq. km),AG.LND.FRST.K2,21161.8
2018,Forest area (sq. km),AG.LND.FRST.K2,21193.4
2017,Forest area (sq. km),AG.LND.FRST.K2,21225.0
2016,Forest area (sq. km),AG.LND.FRST.K2,21256.6
2015,Forest area (sq. km),AG.LND.FRST.K2,21288.2
2014,Forest area (sq. km),AG.LND.FRST.K2,21237.8
2013,Forest area (sq. km),AG.LND.FRST.K2,21187.4
2012,Forest area (sq. km),AG.LND.FRST.K2,21137.0
2011,Forest area (sq. km),AG.LND.FRST.K2,21086.6
2010,Forest area (sq. km),AG.LND.FRST.K2,21036.2
2009,Forest area (sq. km),AG.LND.FRST.K2,21099.0
2008,Forest area (sq. km),AG.LND.FRST.K2,21161.8
2007,Forest area (sq. km),AG.LND.FRST.K2,21224.6
2006,Forest area (sq. km),AG.LND.FRST.K2,21287.4
2005,Forest area (sq. km),AG.LND.FRST.K2,21350.2
2004,Forest area (sq. km),AG.LND.FRST.K2,21413.0
2003,Forest area (sq. km),AG.LND.FRST.K2,21475.8
2002,Forest area (sq. km),AG.LND.FRST.K2,21538.6
2001,Forest area (sq. km),AG.LND.FRST.K2,21601.4
2000,Forest area (sq. km),AG.LND.FRST.K2,21664.2
1999,Forest area (sq. km),AG.LND.FRST.K2,21848.11
1998,Forest area (sq. km),AG.LND.FRST.K2,22032.02
1997,Forest area (sq. km),AG.LND.FRST.K2,22215.93
1996,Forest area (sq. km),AG.LND.FRST.K2,22399.84
1995,Forest area (sq. km),AG.LND.FRST.K2,22583.75
1994,Forest area (sq. km),AG.LND.FRST.K2,22767.66
1993,Forest area (sq. km),AG.LND.FRST.K2,22951.57
1992,Forest area (sq. km),AG.LND.FRST.K2,23135.48
1991,Forest area (sq. km),AG.LND.FRST.K2,23319.39
1990,Forest area (sq. km),AG.LND.FRST.K2,23503.3
2022,Forest area (% of land area),AG.LND.FRST.ZS,34.06
2021,Forest area (% of land area),AG.LND.FRST.ZS,34.11
2020,Forest area (% of land area),AG.LND.FRST.ZS,34.16
2019,Forest area (% of land area),AG.LND.FRST.ZS,34.21
2018,Forest area (% of land area),AG.LND.FRST.ZS,34.26
2017,Forest area (% of land area),AG.LND.FRST.ZS,34.29
2016,Forest area (% of land area),AG.LND.FRST.ZS,34.34
2015,Forest area (% of land area),AG.LND.FRST.ZS,34.4
2014,Forest area (% of land area),AG.LND.FRST.ZS,33.87
2013,Forest area (% of land area),AG.LND.FRST.ZS,33.79
2012,Forest area (% of land area),AG.LND.FRST.ZS,33.71
2011,Forest area (% of land area),AG.LND.FRST.ZS,33.63
2010,Forest area (% of land area),AG.LND.FRST.ZS,33.55
2009,Forest area (% of land area),AG.LND.FRST.ZS,33.65
2008,Forest area (% of land area),AG.LND.FRST.ZS,33.75
2007,Forest area (% of land area),AG.LND.FRST.ZS,33.85
2006,Forest area (% of land area),AG.LND.FRST.ZS,33.95
2005,Forest area (% of land area),AG.LND.FRST.ZS,34.05
2004,Forest area (% of land area),AG.LND.FRST.ZS,34.15
2003,Forest area (% of land area),AG.LND.FRST.ZS,34.25
2002,Forest area (% of land area),AG.LND.FRST.ZS,34.35
2001,Forest area (% of land area),AG.LND.FRST.ZS,34.45
2000,Forest area (% of land area),AG.LND.FRST.ZS,34.55
1999,Forest area (% of land area),AG.LND.FRST.ZS,34.84
1998,Forest area (% of land area),AG.LND.FRST.ZS,35.13
1997,Forest area (% of land area),AG.LND.FRST.ZS,35.43
1996,Forest area (% of land area),AG.LND.FRST.ZS,35.72
1995,Forest area (% of land area),AG.LND.FRST.ZS,36.01
1994,Forest area (% of land area),AG.LND.FRST.ZS,36.31
1993,Forest area (% of land area),AG.LND.FRST.ZS,36.6
1992,Forest area (% of land area),AG.LND.FRST.ZS,36.89
1991,Forest area (% of land area),AG.LND.FRST.ZS,37.19
1990,Forest area (% of land area),AG.LND.FRST.ZS,37.48
2021,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2020,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2019,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2018,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2017,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2016,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2015,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2014,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2013,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2012,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2011,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2010,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2009,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2008,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2007,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2006,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2005,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2004,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2003,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2002,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2001,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2000,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1999,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1998,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1997,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1996,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1995,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1994,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1993,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1992,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1991,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1990,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1989,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1988,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1987,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1986,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1985,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1984,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1983,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1982,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1981,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1980,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1979,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1978,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1977,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1976,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1975,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1974,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1973,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1972,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1971,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1970,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1969,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1968,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1967,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1966,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1965,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1964,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1963,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1962,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1961,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2022,Land area (sq. km),AG.LND.TOTL.K2,61860.0
2021,Land area (sq. km),AG.LND.TOTL.K2,61860.0
2020,Land area (sq. km),AG.LND.TOTL.K2,61860.0
2019,Land area (sq. km),AG.LND.TOTL.K2,61864.47
2018,Land area (sq. km),AG.LND.TOTL.K2,61864.0
2017,Land area (sq. km),AG.LND.TOTL.K2,61893.0
2016,Land area (sq. km),AG.LND.TOTL.K2,61893.0
2015,Land area (sq. km),AG.LND.TOTL.K2,61893.0
2014,Land area (sq. km),AG.LND.TOTL.K2,62710.0
2013,Land area (sq. km),AG.LND.TOTL.K2,62710.0
2012,Land area (sq. km),AG.LND.TOTL.K2,62710.0
2011,Land area (sq. km),AG.LND.TOTL.K2,62710.0
2010,Land area (sq. km),AG.LND.TOTL.K2,62710.0
2009,Land area (sq. km),AG.LND.TOTL.K2,62710.0
2008,Land area (sq. km),AG.LND.TOTL.K2,62710.0
2007,Land area (sq. km),AG.LND.TOTL.K2,62710.0
2006,Land area (sq. km),AG.LND.TOTL.K2,62710.0
2005,Land area (sq. km),AG.LND.TOTL.K2,62710.0
2004,Land area (sq. km),AG.LND.TOTL.K2,62710.0
2003,Land area (sq. km),AG.LND.TOTL.K2,62710.0
2002,Land area (sq. km),AG.LND.TOTL.K2,62710.0
2001,Land area (sq. km),AG.LND.TOTL.K2,62710.0
2000,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1999,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1998,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1997,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1996,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1995,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1994,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1993,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1992,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1991,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1990,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1989,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1988,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1987,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1986,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1985,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1984,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1983,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1982,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1981,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1980,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1979,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1978,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1977,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1976,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1975,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1974,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1973,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1972,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1971,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1970,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1969,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1968,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1967,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1966,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1965,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1964,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1963,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1962,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1961,Land area (sq. km),AG.LND.TOTL.K2,62710.0
2015,Rural land area (sq. km),AG.LND.TOTL.RU.K2,61386.13
2000,Rural land area (sq. km),AG.LND.TOTL.RU.K2,61978.83
1990,Rural land area (sq. km),AG.LND.TOTL.RU.K2,62496.38
2022,Cereal production (metric tons),AG.PRD.CREL.MT,3652343.0
2021,Cereal production (metric tons),AG.PRD.CREL.MT,5622708.9
2020,Cereal production (metric tons),AG.PRD.CREL.MT,5434886.5
2019,Cereal production (metric tons),AG.PRD.CREL.MT,4837907.0
2018,Cereal production (metric tons),AG.PRD.CREL.MT,4200098.0
2017,Cereal production (metric tons),AG.PRD.CREL.MT,2579086.0
2016,Cereal production (metric tons),AG.PRD.CREL.MT,4672771.0
2015,Cereal production (metric tons),AG.PRD.CREL.MT,5051180.51
2014,Cereal production (metric tons),AG.PRD.CREL.MT,3625675.0
2013,Cereal production (metric tons),AG.PRD.CREL.MT,4837225.0
2012,Cereal production (metric tons),AG.PRD.CREL.MT,4054851.0
2011,Cereal production (metric tons),AG.PRD.CREL.MT,4038207.0
2010,Cereal production (metric tons),AG.PRD.CREL.MT,4469740.0
2009,Cereal production (metric tons),AG.PRD.CREL.MT,3788070.0
2008,Cereal production (metric tons),AG.PRD.CREL.MT,4017620.0
2007,Cereal production (metric tons),AG.PRD.CREL.MT,3193100.0
2006,Cereal production (metric tons),AG.PRD.CREL.MT,3396030.0
2005,Cereal production (metric tons),AG.PRD.CREL.MT,3294530.0
2004,Cereal production (metric tons),AG.PRD.CREL.MT,2668240.0
2003,Cereal production (metric tons),AG.PRD.CREL.MT,3106450.0
2002,Cereal production (metric tons),AG.PRD.CREL.MT,2890180.0
2001,Cereal production (metric tons),AG.PRD.CREL.MT,2728140.0
2000,Cereal production (metric tons),AG.PRD.CREL.MT,2896040.0
1999,Cereal production (metric tons),AG.PRD.CREL.MT,2893630.0
1998,Cereal production (metric tons),AG.PRD.CREL.MT,2730821.0
1997,Cereal production (metric tons),AG.PRD.CREL.MT,2268861.0
1996,Cereal production (metric tons),AG.PRD.CREL.MT,2098777.0
1995,Cereal production (metric tons),AG.PRD.CREL.MT,2850089.0
1994,Cereal production (metric tons),AG.PRD.CREL.MT,2722454.0
1993,Cereal production (metric tons),AG.PRD.CREL.MT,2609310.0
1992,Cereal production (metric tons),AG.PRD.CREL.MT,2373882.0
1991,Cereal production (metric tons),AG.PRD.CREL.MT,2429895.0
1990,Cereal production (metric tons),AG.PRD.CREL.MT,2578860.0
1989,Cereal production (metric tons),AG.PRD.CREL.MT,2101237.0
1988,Cereal production (metric tons),AG.PRD.CREL.MT,2523913.0
1987,Cereal production (metric tons),AG.PRD.CREL.MT,2177294.0
1986,Cereal production (metric tons),AG.PRD.CREL.MT,2638561.0
1985,Cereal production (metric tons),AG.PRD.CREL.MT,2702001.0
1984,Cereal production (metric tons),AG.PRD.CREL.MT,2467570.0
1983,Cereal production (metric tons),AG.PRD.CREL.MT,2528616.0
1982,Cereal production (metric tons),AG.PRD.CREL.MT,2192543.0
1981,Cereal production (metric tons),AG.PRD.CREL.MT,2265866.0
1980,Cereal production (metric tons),AG.PRD.CREL.MT,2170390.0
1979,Cereal production (metric tons),AG.PRD.CREL.MT,1955033.0
1978,Cereal production (metric tons),AG.PRD.CREL.MT,1932237.0
1977,Cereal production (metric tons),AG.PRD.CREL.MT,1719023.0
1976,Cereal production (metric tons),AG.PRD.CREL.MT,1306398.0
1975,Cereal production (metric tons),AG.PRD.CREL.MT,1211357.0
1974,Cereal production (metric tons),AG.PRD.CREL.MT,1650815.0
1973,Cereal production (metric tons),AG.PRD.CREL.MT,1353723.0
1972,Cereal production (metric tons),AG.PRD.CREL.MT,1342614.0
1971,Cereal production (metric tons),AG.PRD.CREL.MT,1421355.0
1970,Cereal production (metric tons),AG.PRD.CREL.MT,1644193.0
1969,Cereal production (metric tons),AG.PRD.CREL.MT,1412377.0
1968,Cereal production (metric tons),AG.PRD.CREL.MT,1385641.0
1967,Cereal production (metric tons),AG.PRD.CREL.MT,1190706.0
1966,Cereal production (metric tons),AG.PRD.CREL.MT,1011504.0
1965,Cereal production (metric tons),AG.PRD.CREL.MT,795199.0
1964,Cereal production (metric tons),AG.PRD.CREL.MT,1100142.0
1963,Cereal production (metric tons),AG.PRD.CREL.MT,1076631.0
1962,Cereal production (metric tons),AG.PRD.CREL.MT,1061828.0
1961,Cereal production (metric tons),AG.PRD.CREL.MT,951868.0
2022,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,95.73
2021,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,117.02
2020,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,107.34
2019,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,95.85
